chunk	Precision	Recall	F-score
chunk8	0.87	0.93	0.9
chunk12	0.89	0.94	0.91
chunk6	0.92	0.91	0.91
chunk23	0.89	0.94	0.92
chunk19	0.91	0.93	0.92
chunk22	0.94	0.91	0.93
chunk1	0.9	0.96	0.93
chunk17	0.94	0.92	0.93
chunk14	0.95	0.91	0.93
chunk11	0.95	0.92	0.93
chunk0	0.94	0.94	0.94
chunk13	0.91	0.97	0.94
chunk2	0.92	0.96	0.94
chunk24	0.95	0.93	0.94
chunk3	0.93	0.96	0.95
chunk21	0.94	0.95	0.95
chunk4	0.97	0.93	0.95
chunk7	0.95	0.95	0.95
chunk9	0.93	0.97	0.95
chunk15	0.93	0.97	0.95
chunk5	0.93	0.98	0.95
chunk16	0.95	0.96	0.95
chunk10	0.95	0.95	0.95
chunk18	0.97	0.96	0.96
chunk20	0.98	0.98	0.98
Mean	0.93	0.95	0.94
SD	0.03	0.02	0.02
